id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,Description
15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,Turtle Check Men Navy Blue Shirt,"This navy blue shirts is a must-have for fall fashion. Designed for casual use, it combines style and comfort effortlessly."
39386,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,Peter England Men Party Blue Jeans,"This blue jeans is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
59263,Women,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Titan Women Silver Watch,"This silver watches is a must-have for winter fashion. Designed for casual use, it combines style and comfort effortlessly."
21379,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011,Casual,Manchester United Men Solid Black Track Pants,"This black track pants is a must-have for fall fashion. Designed for casual use, it combines style and comfort effortlessly."
53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012,Casual,Puma Men Grey T-shirt,"This grey tshirts is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual,Inkfruit Mens Chain Reaction T-shirt,"This grey tshirts is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
30805,Men,Apparel,Topwear,Shirts,Green,Summer,2012,Ethnic,Fabindia Men Striped Green Shirt,"This green shirts is a must-have for summer fashion. Designed for ethnic use, it combines style and comfort effortlessly."
26960,Women,Apparel,Topwear,Shirts,Purple,Summer,2012,Casual,Jealous 21 Women Purple Shirt,"This purple shirts is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
29114,Men,Accessories,Socks,Socks,Navy Blue,Summer,2012,Casual,Puma Men Pack of 3 Socks,"This navy blue socks is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
30039,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Skagen Men Black Watch,"This black watches is a must-have for winter fashion. Designed for casual use, it combines style and comfort effortlessly."
9204,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011,Casual,Puma Men Future Cat Remix SF Black Casual Shoes,"This black casual shoes is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
48123,Women,Accessories,Belts,Belts,Black,Summer,2012,Casual,Fossil Women Black Huarache Weave Belt,"This black belts is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
18653,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011,Casual,Fila Men Cush Flex Black Slippers,"This black flip flops is a must-have for fall fashion. Designed for casual use, it combines style and comfort effortlessly."
47957,Women,Accessories,Bags,Handbags,Blue,Summer,2012,Casual,Murcia Women Blue Handbag,"This blue handbags is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
46885,Boys,Footwear,Flip Flops,Flip Flops,Navy Blue,Fall,2012,Casual,Ben 10 Boys Navy Blue Slippers,"This navy blue flip flops is a must-have for fall fashion. Designed for casual use, it combines style and comfort effortlessly."
12369,Men,Apparel,Topwear,Shirts,Purple,Fall,2011,Formal,Reid & Taylor Men Check Purple Shirts,"This purple shirts is a must-have for fall fashion. Designed for formal use, it combines style and comfort effortlessly."
29928,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Police Men Black Dial Watch PL12889JVSB,"This black watches is a must-have for winter fashion. Designed for casual use, it combines style and comfort effortlessly."
42419,Girls,Apparel,Topwear,Tops,White,Summer,2012,Casual,Gini and Jony Girls Knit White Top,"This white tops is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
51832,Women,Apparel,Innerwear,Bra,Beige,Summer,2016,Casual,Bwitch Beige Full-Coverage Bra BW335,"This beige bra is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
47359,Women,Accessories,Bags,Handbags,Brown,Summer,2012,Casual,Baggit Women Brown Handbag,"This brown handbags is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
17429,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,"This black watches is a must-have for winter fashion. Designed for casual use, it combines style and comfort effortlessly."
12967,Men,Footwear,Sandal,Sandals,Black,Fall,2011,Casual,ADIDAS Men Spry M Black Sandals,"This black sandals is a must-have for fall fashion. Designed for casual use, it combines style and comfort effortlessly."
6842,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Black,Summer,2011,Casual,Timberland Unisex Rubber Sole Brush Shoe Accessories,"This black shoe accessories is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
13089,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,2011,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,"This grey sweatshirts is a must-have for fall fashion. Designed for sports use, it combines style and comfort effortlessly."
18461,Men,Personal Care,Fragrance,Deodorant,White,Spring,2017,Casual,David Beckham Signature Men Deos,"This white deodorant is a must-have for spring fashion. Designed for casual use, it combines style and comfort effortlessly."
9036,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2011,Formal,Buckaroo Men Flores Black Formal Shoes,"This black formal shoes is a must-have for winter fashion. Designed for formal use, it combines style and comfort effortlessly."
48311,Women,Accessories,Jewellery,Bracelet,Bronze,Winter,2012,Casual,Pitaraa Women Bronze Beaded Bracelet,"This bronze bracelet is a must-have for winter fashion. Designed for casual use, it combines style and comfort effortlessly."
7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Sports,Fila Men's Round Neck Navy Blue T-shirt,"This navy blue tshirts is a must-have for fall fashion. Designed for sports use, it combines style and comfort effortlessly."
56019,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017,Casual,Colorbar Soft Touch Show Stopper Copper Lipstick 037,"This brown lipstick is a must-have for spring fashion. Designed for casual use, it combines style and comfort effortlessly."
21977,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Casual Brown Handbag,"This brown handbags is a must-have for winter fashion. Designed for casual use, it combines style and comfort effortlessly."
37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012,Formal,John Players Men Navy Blue Shirt,"This navy blue shirts is a must-have for summer fashion. Designed for formal use, it combines style and comfort effortlessly."
4729,Boys,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,"This green tshirts is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
56825,Men,Apparel,Topwear,Shirts,Brown,Summer,2012,Casual,John Players Men Brown Shirt,"This brown shirts is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
39988,Men,Footwear,Shoes,Casual Shoes,White,Winter,2014,Casual,Gas Men Europa White Shoes,"This white casual shoes is a must-have for winter fashion. Designed for casual use, it combines style and comfort effortlessly."
59051,Women,Footwear,Shoes,Flats,Black,Winter,2012,Casual,Carlton London Women Black & Gold Toned Flats,"This black flats is a must-have for winter fashion. Designed for casual use, it combines style and comfort effortlessly."
20099,Women,Apparel,Topwear,Kurtas,Green,Fall,2011,Ethnic,Diva Women Embroided Green Kurta,"This green kurtas is a must-have for fall fashion. Designed for ethnic use, it combines style and comfort effortlessly."
58183,Women,Accessories,Bags,Handbags,White,Summer,2012,Casual,Rocky S Women White Handbag,"This white handbags is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
29742,Women,Accessories,Bags,Handbags,Teal,Summer,2012,Casual,Kiara Women Teal Handbag,"This teal handbags is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
51658,Women,Accessories,Watches,Watches,Copper,Winter,2016,Casual,Fossil Women Copper Chronograph Watch CH2589,"This copper watches is a must-have for winter fashion. Designed for casual use, it combines style and comfort effortlessly."
3954,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,Jealous 21 Women's Pink T-shirt,"This pink tshirts is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
18839,Men,Accessories,Belts,Belts,Black,Fall,2011,Formal,Peter England Men Formal Black Belt,"This black belts is a must-have for fall fashion. Designed for formal use, it combines style and comfort effortlessly."
2886,Women,Footwear,Shoes,Flats,Brown,Winter,2015,Casual,Catwalk Women Leather Brown Flats,"This brown flats is a must-have for winter fashion. Designed for casual use, it combines style and comfort effortlessly."
23278,Men,Accessories,Watches,Watches,Off White,Winter,2016,Casual,Maxima Ssteele Men Off White Watch,"This off white watches is a must-have for winter fashion. Designed for casual use, it combines style and comfort effortlessly."
28690,Women,Apparel,Topwear,Kurtas,Beige,Summer,2012,Ethnic,W Women Printed Beige Kurta,"This beige kurtas is a must-have for summer fashion. Designed for ethnic use, it combines style and comfort effortlessly."
8580,Men,Apparel,Topwear,Waistcoat,Grey,Fall,2011,Casual,Scullers Men  Grey Waistcoat,"This grey waistcoat is a must-have for fall fashion. Designed for casual use, it combines style and comfort effortlessly."
3168,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Nike Men's Incinerate MSL White Blue Shoe,"This white sports shoes is a must-have for fall fashion. Designed for sports use, it combines style and comfort effortlessly."
18005,Men,Apparel,Bottomwear,Shorts,Black,Summer,2011,Sports,Puma Men Long Logo Black Bermuda,"This black shorts is a must-have for summer fashion. Designed for sports use, it combines style and comfort effortlessly."
17871,Men,Apparel,Innerwear,Briefs,Maroon,Winter,2016,Casual,Levis Men Boxer Maroon Brief,"This maroon briefs is a must-have for winter fashion. Designed for casual use, it combines style and comfort effortlessly."
9452,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Formal,John Miller Men Stripes White Red Shirts,"This red shirts is a must-have for fall fashion. Designed for formal use, it combines style and comfort effortlessly."
